"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Julien Absalon","France","31","180","68","M","8/16/1980","0","0","0","0","Cycling - Mountain Bike"
"Ayele Abshero","Ethiopia","21","168","62","M","12/28/1990","0","0","0","0","Athletics"
"Methkal Abu Drais","Jordan","28","168","62","M","12/29/1983","0","0","0","0","Athletics"
"Maher Abu Rmilah","Palestine","28","172","72","M","8/24/1983","0","0","0","0","Judo"
"Mohammad Abulibdeh","Jordan","28","183","","M","10/22/1983","0","0","0","0","Taekwondo"
"Kanat Abutalipov","Kazakhstan","29","168","","M","3/22/1983","0","0","0","0","Boxing"
"Irina Abysova","Russian Federation","31","175","58","F","11/7/1980","0","0","0","0","Triathlon"
"Raidel Acea","Cuba","21","","","M","10/31/1990","0","0","0","0","Athletics"
"Abraham Acevedo","Paraguay","22","","65","M","9/12/1989","0","0","0","0","Judo"
"Loreto Achaerandio","Spain","20","164","","F","9/13/1991","0","0","0","0","Gymnastics - Rhythmic"
"Kieron Achara","Great Britain","29","208","110","M","7/3/1983","0","0","0","0","Basketball"
"Georgios Achilleos","Cyprus","31","172","80","M","12/24/1980","0","0","0","0","Shooting"
"Janet Achola","Uganda","24","167","52","F","6/26/1988","0","0","0","0","Athletics"
"Natalie Achonwa","Canada","19","192","83","F","11/22/1992","0","0","0","0","Basketball"
"Dallal Merwa Achour","Algeria","17","175","60","F","11/3/1994","0","0","0","0","Volleyball"
"Haikel Achouri","Tunisia","27","184","84","M","8/29/1984","0","0","0","0","Wrestling"
"Chantal Achterberg","Netherlands","27","171","72","F","4/16/1985","0","0","1","1","Rowing"
"Luz Mercedes Acosta Valdez","Mexico","31","166","63","F","12/22/1980","0","0","0","0","Weightlifting"
"Amy Acuff","United States of America","37","188","66","F","7/14/1975","0","0","0","0","Athletics"
"Crox Acuna Rodriguez","Venezuela","22","192","89","M","6/23/1990","0","0","0","0","Swimming"
"Mariko Adachi","Japan","29","162","51","F","7/21/1983","0","0","0","0","Triathlon"
"Yumi Adachi","Japan","23","160","","F","2/7/1989","0","0","0","0","Synchronised Swimming"
"Idrissa Adam","Cameroon","27","178","79","M","12/28/1984","0","0","0","0","Athletics"
"Tomasz Adamiec","Poland","30","171","73","M","4/13/1982","0","0","0","0","Judo"
"Antoine Adams","Saint Kitts and Nevis","23","180","79","M","8/31/1988","0","0","0","0","Athletics"
"Cammile Adams","United States of America","20","173","65","F","9/11/1991","0","0","0","0","Swimming"
"Luke Adams","Australia","35","189","70","M","10/22/1976","0","0","0","0","Athletics"
"Lyukman Adams","Russian Federation","23","194","87","M","9/24/1988","0","0","0","0","Athletics"
"Nicola Adams","Great Britain","29","164","","F","10/26/1982","0","0","0","0","Boxing"
"Valerie Adams","New Zealand","27","193","120","F","10/6/1984","0","0","0","0","Athletics"
"Filip Adamski","Germany","29","189","90","M","1/5/1983","1","0","0","1","Rowing"
"Jakub Adamski","Poland","24","183","75","M","11/11/1987","0","0","0","0","Athletics"
"Chris Adcock","Great Britain","23","183","80","M","4/27/1989","0","0","0","0","Badminton"
"Jangy Addy","Liberia","27","188","88","M","2/3/1985","0","0","0","0","Athletics"
"Abrar Osman Adem","Eritrea","18","168","58","M","1/1/1994","0","0","0","0","Athletics"
"Margaret Adeoye","Great Britain","27","162","65","F","4/22/1985","0","0","0","0","Athletics"
"Seun Adigun","Nigeria","25","153","52","F","1/3/1987","0","0","0","0","Athletics"
"Jonna Adlerteg","Sweden","17","153","","F","6/6/1995","0","0","0","0","Gymnastics - Artistic"
"Rebecca Adlington","Great Britain","23","179","70","F","2/17/1989","0","0","1","1","Swimming"
"Nathan Adrian","United States of America","23","201","102","M","12/7/1988","1","1","0","2","Swimming"
"Jasper Aerents","Belgium","19","190","84","M","12/18/1992","0","0","0","0","Swimming"
"Sara Aerts","Belgium","28","182","64","F","1/25/1984","0","0","0","0","Athletics"
"Kseniia Afanaseva","Russian Federation","20","158","","F","9/13/1991","0","1","0","1","Gymnastics - Artistic"
"Francois Affolter","Switzerland","21","186","74","M","3/13/1991","0","0","0","0","Football"
"Alvaro Affonso de Miranda Neto","Brazil","39","","","M","2/5/1973","0","0","0","0","Equestrian"
"Christos Afroudakis","Greece","28","188","88","M","5/23/1984","0","0","0","0","Water Polo"
"Georgios Afroudakis","Greece","35","194","103","M","10/17/1976","0","0","0","0","Water Polo"
"Dragos Agache","Romania","28","175","75","M","3/8/1984","0","0","0","0","Swimming"
"Alphonsine Agahozo","Rwanda","16","160","50","F","7/18/1996","0","0","0","0","Swimming"
"Luca Agamennoni","Italy","31","188","96","M","8/8/1980","0","0","0","0","Rowing"
"Mawussi Agbetoglo","Togo","18","","","M","12/24/1993","0","0","0","0","Table Tennis"
"Marilyn Agliotti","Netherlands","33","171","61","F","6/23/1979","0","0","0","0","Hockey"
"Yannick Agnel","France","20","202","90","M","6/9/1992","2","1","0","3","Swimming"
"Anna Agrafioti","Greece","21","178","76","F","4/10/1991","0","0","0","0","Sailing"
"Ulrika Agren","Sweden","25","177","66","F","7/13/1987","0","0","0","0","Handball"
"Renzo Agresta","Brazil","27","","","M","6/27/1985","0","0","0","0","Fencing"
"Mayra Aguiar","Brazil","21","178","78","F","8/3/1991","0","0","1","1","Judo"
"Alberto Aguilar","Venezuela","27","194","80","M","3/9/1985","0","0","0","0","Athletics"
"Alessandra Aguilar","Spain","34","165","50","F","7/1/1978","0","0","0","0","Athletics"
"Sandra Aguilar","Spain","19","167","","F","8/9/1992","0","0","0","0","Gymnastics - Rhythmic"
"Macarena Aguilar Diaz","Spain","27","170","67","F","3/12/1985","0","0","0","0","Handball"
"Inaki Aguilar Vicente","Spain","28","189","82","M","9/9/1983","0","0","0","0","Water Polo"
"Julen Aguinagalde Akizu","Spain","29","196","113","M","12/2/1982","0","0","0","0","Handball"
"Jeinkler Aguirre","Cuba","22","","","M","6/14/1990","0","0","0","0","Diving"
"Marcelo Aguirre","Paraguay","19","174","66","M","1/21/1993","0","0","0","0","Table Tennis"
"Matias Aguirregaray","Uruguay","23","178","79","M","4/1/1989","0","0","0","0","Football"
"Mikel Aguirrezabalaga Garcia","Spain","28","196","92","M","4/8/1984","0","0","0","0","Handball"
"Feta Ahamada","Comoros","25","160","50","F","6/24/1987","0","0","0","0","Athletics"
"Johanna Ahlm","Sweden","24","175","65","F","10/3/1987","0","0","0","0","Handball"
"Christian Ahlmann","Germany","37","192","88","M","12/17/1974","0","0","0","0","Equestrian"
"Tontowi Ahmad","Indonesia","25","178","68","M","7/18/1987","0","0","0","0","Badminton"
"Waseem Ahmad","Pakistan","35","","","M","4/10/1977","0","0","0","0","Hockey"
"Elaheh Ahmadi","Islamic Republic of Iran","30","160","58","F","5/31/1982","0","0","0","0","Shooting"
"Emin Ahmadov","Azerbaijan","25","170","74","M","10/6/1986","0","0","0","0","Wrestling"
"Abdelrahman Ahmed","Egypt","23","176","","M","10/7/1988","0","0","0","0","Taekwondo"
"Abdou Omar Abdou Ahmed","Egypt","23","172","66","M","2/22/1989","0","0","0","0","Wrestling"
"Ahmed Abdulkareem Ahmed","Iraq","20","","","M","4/28/1992","0","0","0","0","Boxing"
"Azneem Ahmed","Maldives","23","169","65","M","1/1/1989","0","0","0","0","Athletics"
"Esmat Ahmed","Egypt","25","165","68","F","11/20/1986","0","0","0","0","Weightlifting"
"Fareed Ahmed","Pakistan","23","","","M","4/28/1989","0","0","0","0","Hockey"
"Mohammed Ahmed","Canada","21","190","60","M","1/5/1991","0","0","0","0","Athletics"
"Shehab Ahmed","Egypt","21","174","73","M","8/22/1990","0","0","0","0","Football"
"Odile Ahouanwanou","Benin","21","178","71","F","1/5/1991","0","0","0","0","Athletics"
"Murielle Ahoure","Côte d'Ivoire","24","170","57","F","8/23/1987","0","0","0","0","Athletics"
"Gaby Diana Ahrens","Namibia","31","170","60","F","3/15/1981","0","0","0","0","Shooting"
"Mohammad Ahsan","Indonesia","24","174","66","M","9/7/1987","0","0","0","0","Badminton"
"Johannes Ahun","Estonia","24","188","80","M","12/22/1987","0","0","0","0","Sailing"
"Michelle-Lee Ahye","Trinidad and Tobago","20","160","64","F","4/10/1992","0","0","0","0","Athletics"
"Matteo Aicardi","Italy","26","192","104","M","4/19/1986","0","0","0","0","Water Polo"
"Neringa Aidietyte","Lithuania","29","177","61","F","6/5/1983","0","0","0","0","Athletics"
"Hannes Aigner","Germany","23","183","80","M","3/19/1989","0","0","1","1","Canoe Slalom"
"Ben Ainslie","Great Britain","35","183","90","M","2/5/1977","0","0","0","0","Sailing"
"Tassadit Aissou","Algeria","23","184","80","F","6/19/1989","0","0","0","0","Volleyball"
"Souad Ait Salem","Algeria","33","167","50","F","1/6/1979","0","0","0","0","Athletics"
"Gulnafis Aitmukhambetova","Kazakhstan","24","175","","F","2/2/1988","0","0","0","0","Taekwondo"
"Marina Aitova","Kazakhstan","29","178","59","F","9/13/1982","0","0","0","0","Athletics"
"Henriette Akaba Edoa","Cameroon","20","160","65","F","6/7/1992","0","0","0","0","Football"
"Muideen Akanji","Nigeria","20","","","M","5/12/1992","0","0","0","0","Boxing"
"Tolga Akcayli","St Vincent and the Grenadines","19","","","M","4/15/1993","0","0","0","0","Swimming"
"Tarik Langat Akdag","Turkey","24","","","M","6/16/1988","0","0","0","0","Athletics"
"Ahmet Akdilek","Turkey","24","178","67","M","3/10/1988","0","0","0","0","Cycling - Road"
"Taha Akgul","Turkey","21","192","120","M","11/22/1990","0","0","0","0","Wrestling"
"Habibollah Jomeh Akhlaghi","Islamic Republic of Iran","27","179","84","M","8/3/1985","0","0","0","0","Wrestling"
"Artur Akhmatkhuzin","Russian Federation","24","182","74","M","5/21/1988","0","0","0","0","Fencing"
"Esther Akihary","Netherlands","25","166","56","F","4/14/1987","0","0","0","0","Athletics"
"Ozge Akin-Gurler","Turkey","27","","","F","6/17/1985","0","0","0","0","Athletics"
"Foluke Akinradewo","United States of America","24","191","79","F","10/5/1987","0","0","0","0","Volleyball"
"Jonathan Akinyemi","Nigeria","23","183","79","M","11/22/1988","0","0","0","0","Canoe Slalom"
"Khadzhimurat Akkaev","Russian Federation","27","178","105","M","3/27/1985","0","0","0","0","Weightlifting"
"Malika Akkaoui","Morocco","24","160","49","F","12/25/1987","0","0","0","0","Athletics"
"Adnan Taess Akkar","Iraq","32","165","78","M","3/24/1980","0","0","0","0","Athletics"
"Youssef Akrout","Tunisia","21","180","78","M","11/15/1990","0","0","0","0","Sailing"
"Chie Akutsu","Japan","27","155","51","F","9/15/1984","0","0","0","0","Hockey"
"Noah Akwu","Nigeria","21","160","74","M","9/23/1990","0","0","0","0","Athletics"
"Ahmed Ali Al Abri","United Arab Emirates","22","171","72","M","1/28/1990","0","0","0","0","Football"
"Noor Amer Al Ameri","Iraq","18","","","F","1/12/1994","0","0","0","0","Shooting"
"Omar Abdulrahman Al Amoudi","United Arab Emirates","20","168","62","M","9/20/1991","0","0","0","0","Football"
"Abdulaziz Hussain Al Balooshi","United Arab Emirates","21","178","66","M","9/10/1990","0","0","0","0","Football"
"Mubarak Al Besher","United Arab Emirates","24","","","M","7/15/1988","0","0","0","0","Swimming"
"Ramzy Al Duhami","Saudi Arabia","40","","","M","1/5/1972","0","0","0","0","Equestrian"
"Rashed Eisa Al Falasi","United Arab Emirates","21","176","65","M","8/24/1990","0","0","0","0","Football"
"Habib Fardan Al Fardan","United Arab Emirates","21","179","71","M","11/11/1990","0","0","0","0","Football"
"Bahaa Al Farra","Palestine","21","175","65","M","3/10/1991","0","0","0","0","Athletics"
"Ali Mabkhout Al Hajeri","United Arab Emirates","21","176","71","M","10/5/1990","0","0","0","0","Football"
"Bahya Mansour Al Hamad","Qatar","20","166","69","F","6/21/1992","0","0","0","0","Shooting"
"Amer Abdulrahman Al Hammadi","United Arab Emirates","23","168","68","M","7/3/1989","0","0","0","0","Football"
"Ismail Al Hammadi","United Arab Emirates","24","173","68","M","7/1/1988","0","0","0","0","Football"
"Ahmed Al Hatmi","Oman","27","170","70","M","11/27/1984","0","0","0","0","Shooting"
"Ismaeil Matar Al Jneibi","United Arab Emirates","29","169","68","M","4/7/1983","0","0","0","0","Football"
"Ahmed Khalil Al Junaibi","United Arab Emirates","21","178","75","M","6/8/1991","0","0","0","0","Football"
"Dawoud Sulaiman Al Quiwaitaei","United Arab Emirates","22","181","80","M","3/21/1990","0","0","0","0","Football"
"Hrh Prince Abdullah Al Saud","Saudi Arabia","27","","","M","10/13/1984","0","0","0","0","Equestrian"
"Ali Ahmed Al-Amri","Saudi Arabia","27","","","M","1/29/1985","0","0","0","0","Athletics"
"Rashid Al-Athba","Qatar","31","180","104","M","8/18/1980","0","0","0","0","Shooting"
"Nasser Al-Attiya","Qatar","41","178","70","M","12/21/1970","0","0","1","1","Shooting"
"Mohammad Al-Azemi","Kuwait","30","187","65","M","6/16/1982","0","0","0","0","Athletics"
"Mohanad Ahmed Dheyaa Al-Azzawi","Iraq","15","173","65","M","9/21/1996","0","0","0","0","Swimming"
"Sultan Mubarak Al-Dawoodi","Saudi Arabia","35","","","M","6/16/1977","0","0","0","0","Athletics"
"Mostafa Al-Gamel","Egypt","23","191","96","M","10/1/1988","0","0","0","0","Athletics"
"Nabil Mohammed Al-Garbi","Yemen","18","175","65","M","11/3/1993","0","0","0","0","Athletics"
"Mohamad Al-Garni","Qatar","20","170","55","M","7/2/1992","0","0","0","0","Athletics"
"Shinoona Salah Al-Habsi","Oman","19","162","60","F","7/3/1993","0","0","0","0","Athletics"
"Barakat Mubarak Al-Harthi","Oman","24","171","67","M","6/15/1988","0","0","0","0","Athletics"
"Safaa Al-Jumaili","Iraq","22","175","83","M","1/1/1990","0","0","0","0","Weightlifting"
"Hamdan Al-Kamali","United Arab Emirates","23","183","74","M","5/2/1989","0","0","0","0","Football"
"Tameem Mohammed Ahmed Al-Kubati","Yemen","23","168","","M","1/1/1989","0","0","0","0","Taekwondo"
"Noor Hussain Al-Malki","Qatar","17","155","43","F","10/21/1994","0","0","0","0","Athletics"
"Rand Al-Mashhadani","Iraq","17","160","50","F","8/11/1994","0","0","0","0","Archery"
"Ahmed Mohamed Al-Merjabi","Oman","21","170","65","M","9/9/1990","0","0","0","0","Athletics"
"Ahmad Kh A Al-Molad","Saudi Arabia","24","","","M","2/16/1988","0","0","0","0","Athletics"
"Moukheld Al-Outaibi","Saudi Arabia","36","","","M","6/20/1976","0","0","0","0","Athletics"
"Fawaz Al-Shammari","Kuwait","35","","","M","4/3/1977","0","0","0","0","Athletics"
"Majed Al-Tamimi","Saudi Arabia","40","","","M","8/21/1971","0","0","0","0","Shooting"
"Ali Mohamed Al-Zinkawi","Kuwait","28","195","110","M","2/27/1984","0","0","0","0","Athletics"
"Mahmoud Alaa Eldin","Egypt","21","189","84","M","1/1/1991","0","0","0","0","Football"
"Marina Alabau Neira","Spain","26","164","55","F","8/31/1985","0","0","0","0","Sailing"
"Danielle Alakija","Fiji","16","182","71","F","5/3/1996","0","0","0","0","Athletics"
"Ali Salem Ahmed Faraj Alameri","United Arab Emirates","23","175","73","M","1/7/1989","0","0","0","0","Football"
"Yenew Alamirew","Ethiopia","22","178","57","M","5/27/1990","0","0","0","0","Athletics"
"Noshad Alamiyan","Islamic Republic of Iran","20","170","65","M","11/21/1991","0","0","0","0","Table Tennis"
"Mariem Alaoui Selsouli","Morocco","28","158","42","F","7/8/1984","0","0","0","0","Athletics"
"Francisco Roman Alarcon Suarez","Spain","20","176","75","M","4/21/1992","0","0","0","0","Football"
"Dhaher Alaryani","United Arab Emirates","39","","","M","12/11/1972","0","0","0","0","Shooting"
"Yousef Alaskari","Kuwait","18","175","65","M","3/25/1994","0","0","0","0","Swimming"
"Janice Alatoa","Vanuatu","23","166","55","F","10/30/1988","0","0","0","0","Athletics"
"Jordi Alba","Spain","23","170","66","M","3/21/1989","0","0","0","0","Football"
"Azad Albarazi","Syrian Arab Republic","24","205","110","M","1/4/1988","0","0","0","0","Swimming"
"Michael Albasini","Switzerland","31","172","67","M","12/20/1980","0","0","0","0","Cycling - Road"
"Ruslan Albegov","Russian Federation","24","192","156","M","1/26/1988","0","0","0","0","Weightlifting"
"Isil Alben","Turkey","26","172","62","F","2/22/1986","0","0","0","0","Basketball"
"Samantha Albert","Jamaica","41","165","64","F","5/31/1971","0","0","0","0","Equestrian"
"Nely Alberto Francisca","Spain","29","178","81","F","7/2/1983","0","0","0","0","Handball"
"Emiliano Albin","Uruguay","23","176","76","M","1/24/1989","0","0","0","0","Football"
"Nicoleta Albu","Romania","23","183","76","F","8/10/1988","0","0","0","0","Rowing"
"Dailenys Alcantara","Cuba","20","","","F","8/10/1991","0","0","0","0","Athletics"
"Arnold Alcolea","Cuba","29","","","M","9/25/1982","0","0","0","0","Cycling - Road"
"Kyle Alcorn","United States of America","27","185","74","M","3/18/1985","0","0","0","0","Athletics"
"Yamile Aldama","Great Britain","39","172","62","F","8/14/1972","0","0","0","0","Athletics"
"Andrea Aldana Bennett","Guatemala","23","172","68","F","4/29/1989","0","0","0","0","Sailing"
"Ibragim Aldatov","Ukraine","28","178","87","M","11/4/1983","0","0","0","0","Wrestling"
"Fehaid Aldeehani","Kuwait","45","180","100","M","10/11/1966","0","0","0","0","Shooting"
"Humaid Alderei","United Arab Emirates","21","","65","M","4/16/1991","0","0","0","0","Judo"
"David Alegre","Spain","27","184","75","M","9/6/1984","0","0","0","0","Hockey"
"Ramon Alegre","Spain","31","171","71","M","5/14/1981","0","0","0","0","Hockey"
"Jannet Alegria Pena","Mexico","24","154","","F","8/30/1987","0","0","0","0","Taekwondo"
"Jo Aleh","New Zealand","26","171","60","F","5/15/1986","0","0","0","0","Sailing"
"Eric Alejandro","Puerto Rico","26","","83","M","4/15/1986","0","0","0","0","Athletics"
"Virgilijus Alekna","Lithuania","40","199","135","M","2/13/1972","0","0","0","0","Athletics"
"Aleksandar Aleksandrov","Bulgaria","27","164","","M","10/31/1984","0","0","0","0","Boxing"
"Aleksandar Aleksandrov","Azerbaijan","22","189","94","M","4/9/1990","0","0","0","0","Rowing"
"Dmitrii Aleksandrov","Kyrgyzstan","19","185","75","M","9/12/1992","0","0","0","0","Swimming"
"Artur Aleksanyan","Armenia","20","185","96","M","10/21/1991","0","0","0","0","Wrestling"
"Sandra Aleksejeva","Latvia","21","164","62","F","5/3/1991","0","0","0","0","Cycling - BMX"
"Denis Alekseyev","Russian Federation","24","186","75","M","12/21/1987","0","0","0","0","Athletics"
"Aleksandar Aleksic","Serbia","20","188","89","M","4/13/1992","0","0","0","0","Canoe Sprint"
"Milan Aleksic","Serbia","26","197","100","M","5/13/1986","0","0","0","0","Water Polo"
"Todor Aleksiev","Bulgaria","29","200","96","M","4/21/1983","0","0","0","0","Volleyball"
"Ilya Aleksievich","Belarus","21","173","66","M","2/10/1991","0","0","0","0","Football"
"Octavio Alesi Gonzalez","Venezuela","25","175","75","M","11/10/1986","0","0","0","0","Swimming"
"Ayanna Alexander","Trinidad and Tobago","30","171","60","F","7/20/1982","0","0","0","0","Athletics"
"J'maal Alexander","Virgin Islands, British","18","","","M","10/26/1993","0","0","0","0","Athletics"
"Kineke Alexander","St Vincent and the Grenadines","26","178","65","F","2/21/1986","0","0","0","0","Athletics"
"Dmitriy Alexanin","Kazakhstan","20","184","82","M","12/18/1991","0","0","0","0","Fencing"
"Yevgeniy Alexeyev","Kazakhstan","34","185","85","M","12/11/1977","0","0","0","0","Canoe Sprint"
"Alin Alexuc-Ciurariu","Romania","22","191","96","M","2/3/1990","0","0","0","0","Wrestling"
"Rafael Alfaro","El Salvador","20","185","80","M","2/4/1992","0","0","0","0","Swimming"
"Sara Alflaij","Bahrain","17","170","72","F","8/3/1995","0","0","0","0","Swimming"
"Linda Algotsson","Sweden","40","158","53","F","3/22/1972","0","0","0","0","Equestrian"
"Sara Algotsson Ostholt","Sweden","37","162","55","F","12/8/1974","0","1","0","1","Equestrian"
"Hussain Jamaan Alhamdah","Saudi Arabia","29","","","M","4/4/1983","0","0","0","0","Athletics"
"Ibrahem Alhasan","Kuwait","25","174","85","M","8/22/1986","0","0","0","0","Table Tennis"
"Annabel Laure Ali","Cameroon","27","176","72","F","3/4/1985","0","0","0","0","Wrestling"
"Belal Mansoor Ali","Bahrain","23","167","61","M","10/17/1988","0","0","0","0","Athletics"
"Kame Ali","Madagascar","27","190","83","M","5/21/1985","0","0","0","0","Athletics"
"Lahoussine Ali","Morocco","37","176","68","M","8/16/1974","0","0","0","0","Fencing"
"Liaqat Ali","Pakistan","28","","","M","8/6/1983","0","0","0","0","Athletics"
"Zourah Ali","Djibouti","17","","","F","11/23/1994","0","0","0","0","Athletics"
"Khalid Alibaba","Bahrain","15","165","60","M","9/6/1996","0","0","0","0","Swimming"
"Mirko Alilovic","Croatia","26","200","110","M","9/15/1985","0","0","0","0","Handball"
"Elmir Alimzhanov","Kazakhstan","25","185","72","M","10/5/1986","0","0","0","0","Fencing"
"Alexey Alipov","Russian Federation","36","175","85","M","8/7/1975","0","0","0","0","Shooting"
"Ashraf Aliyev","Azerbaijan","26","175","74","M","7/29/1986","0","0","0","0","Wrestling"
"Hasan Aliyev","Azerbaijan","22","170","60","M","11/14/1989","0","0","0","0","Wrestling"
"Triin Aljand","Estonia","27","179","68","F","7/8/1985","0","0","0","0","Swimming"
"Abdullah Abdulaziz Aljoud","Saudi Arabia","37","","","M","7/10/1975","0","0","0","0","Athletics"
"Jasmine Alkhaldi","Philippines","29","165","55","F","6/20/1983","0","0","0","0","Swimming"
"Agnese Allegrini","Italy","30","162","57","F","7/3/1982","0","0","0","0","Badminton"
"Dominique Allen","Great Britain","22","188","86","F","9/10/1989","0","0","0","0","Basketball"
"Elena Allen","Great Britain","40","169","67","F","7/12/1972","0","0","0","0","Shooting"
"Joe Allen","Great Britain","22","170","65","M","3/14/1990","0","0","0","0","Football"
"Sophie Allen","Great Britain","20","170","65","F","3/21/1992","0","0","0","0","Swimming"
"Ade Alleyne-Forte","Trinidad and Tobago","23","180","73","M","10/11/1988","0","0","0","0","Athletics"
"Andrique Allisop","Seychelles","19","171","","M","6/2/1993","0","0","0","0","Boxing"
"Bradley Ally","Barbados","25","183","73","M","11/12/1986","0","0","0","0","Swimming"
"Miguel Angel Almachi","Ecuador","27","169","55","M","5/2/1985","0","0","0","0","Athletics"
"Nicolas Almagro","Spain","26","183","84","M","8/21/1985","0","0","0","0","Tennis"
"Juma Almaktoum","United Arab Emirates","27","","","M","12/23/1984","0","0","0","0","Shooting"
"Saeed Almaktoum","United Arab Emirates","35","","","M","10/1/1976","0","0","0","0","Shooting"
"Rose Mary Almanza","Cuba","20","","","F","7/13/1992","0","0","0","0","Athletics"
"Ihab Almatbouli","Jordan","26","","","M","11/6/1985","0","0","0","0","Boxing"
